ENS,Folio,Region,Comuna,Region,Comuna,Comuna_CENSO2017,CENSO2017,Comuna_CENSO,CENSO2017
2003,847,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,849,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,850,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,851,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,853,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,859,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,861,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,863,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,865,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,867,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,869,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,870,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,872,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,873,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,875,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,877,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,879,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,880,3,241,3ª Región,Caldera,Caldera,3102,CALDERA,3102
2003,885,3,242,3ª Región,Tierra Amarilla,Tierra Amarilla,3103,TIERRA AMARILLA,3103
2003,888,3,242,3ª Región,Tierra Amarilla,Tierra Amarilla,3103,TIERRA AMARILLA,3103
2003,890,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,892,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,897,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,899,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,900,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
